time_s,x_m,y_m,z_m,vx_ms,vy_ms,vz_ms
0.0,6828137.0,0.0,0.0,0.0,4745.835846210381,-5987.754637955983
10.0,6827709.536735611,47457.3685056485,-59876.29736536119,-85.49176013377351,4745.538741673211,-5987.379785321381
20.0,6826427.200463589,94908.7950445027,-119745.09783441511,-170.972816150674,4744.6474652611105,-5986.255274351521
30.0,6824290.151740665,142348.33839374062,-179598.90544951358,-256.43246527405245,4743.162128567624,-5984.3812458424145
40.0,6821298.658139044,189770.05881839123,-239430.22613020966,-341.8600074075397,4741.082917566434,-5981.757934434463
50.0,6817453.094212925,237168.01881502976,-299231.56861156615,-427.2447464747708,4738.410092588134,-5978.3856685831215
60.0,6812753.941451579,284536.2838551889,-358995.445382109,-512.5759917585993,4735.143988287568,-5974.26487051773
70.0,6807201.788219085,331868.92312840064,-418714.37362131156,-597.8430592396464,4731.285013601995,-5969.396056188684
80.0,6800797.329680649,379160.01028477214,-478380.87613649195,-683.0352729340065,4726.833651699824,-5963.779835202827
90.0,6793541.3677155655,426403.6241770023,-537987.4822990058,-768.14196622995,4721.790459920173,-5957.416910747103
100.0,6785434.810816829,473593.8496017479,-597526.7289796175,-853.1524832234545,4716.156069703053,-5950.308079500547
110.0,6776478.673977372,520724.7780402443,-656991.1614829305,-938.0561800523877,4709.931186510329,-5942.454231534503
120.0,6766674.07856299,567790.5083980917,-716373.3344807646,-1022.8424262291926,4703.116589737364,-5933.856350201193
130.0,6756022.25217193,614785.1477441076,-775665.8129443589,-1107.5006059718892,4695.713132615463,-5924.515512010611
140.0,6744524.5284812,661702.8120481651,-834861.1730752853,-1192.0201195332468,4687.721742105036,-5914.432886495705
150.0,6732182.3470795695,708537.6269179004,-893952.0032349504,-1276.39038452792,4679.143418779507,-5903.609736065977
160.0,6718997.253287337,755283.7283342347,-952930.9048725878,-1360.6008372574568,4669.979236700074,-5892.047415849396
170.0,6704970.897962832,801935.2633855821,-1011790.4934516007,-1444.6409340329244,4660.230343281216,-5879.747373522752
180.0,6690105.037295735,848486.3910006753,-1070523.3993741544,-1528.5001524950578,4649.897959147028,-5866.711149130366
190.0,6674401.532587176,894931.2826799013,-1129122.2689038962,-1612.1679929317206,4638.9833779783785,-5852.9403748912855
